Tanggal,Kode Produk,Nama Produk,Terjual,Alamat,Toko,Alamat ,Bulan,Tahun,Hari,Transaksi_ID
2025-05-01,j02,bakso urat,12.0,Alun Alun Utara,Bakso Jihan,,5,2025,1,2025-05-01_Bakso Jihan
2025-05-01,j03,bakso tahu,15.0,Alun Alun Utara,Bakso Jihan,,5,2025,1,2025-05-01_Bakso Jihan
2025-05-01,j04,bakso telur,16.0,Alun Alun Utara,Bakso Jihan,,5,2025,1,2025-05-01_Bakso Jihan
2025-05-01,j05,bakso keju,18.0,Alun Alun Utara,Bakso Jihan,,5,2025,1,2025-05-01_Bakso Jihan
2025-06-01,j01,dampling,12.0,Alun Alun Utara,Bakso Jihan,,6,2025,1,2025-06-01_Bakso Jihan
2025-06-01,j02,bakso urat,9.0,Alun Alun Utara,Bakso Jihan,,6,2025,1,2025-06-01_Bakso Jihan
2025-06-01,j03,bakso tahu,15.0,Alun Alun Utara,Bakso Jihan,,6,2025,1,2025-06-01_Bakso Jihan
2025-06-01,j04,bakso telur,18.0,Alun Alun Utara,Bakso Jihan,,6,2025,1,2025-06-01_Bakso Jihan
2025-06-01,j05,bakso keju,7.0,Alun Alun Utara,Bakso Jihan,,6,2025,1,2025-06-01_Bakso Jihan
2025-07-01,j01,dampling,13.0,Alun Alun Utara,Bakso Jihan,,7,2025,1,2025-07-01_Bakso Jihan
2025-07-01,j02,bakso urat,10.0,Alun Alun Utara,Bakso Jihan,,7,2025,1,2025-07-01_Bakso Jihan
2025-07-01,j03,bakso tahu,19.0,Alun Alun Utara,Bakso Jihan,,7,2025,1,2025-07-01_Bakso Jihan
2025-07-01,j04,bakso telur,19.0,Alun Alun Utara,Bakso Jihan,,7,2025,1,2025-07-01_Bakso Jihan
2025-07-01,j05,bakso keju,7.0,Alun Alun Utara,Bakso Jihan,,7,2025,1,2025-07-01_Bakso Jihan
2025-08-01,j01,dampling,15.0,Alun Alun Utara,Bakso Jihan,,8,2025,1,2025-08-01_Bakso Jihan
2025-08-01,j02,bakso urat,13.0,Alun Alun Utara,Bakso Jihan,,8,2025,1,2025-08-01_Bakso Jihan
2025-08-01,j03,bakso tahu,10.0,Alun Alun Utara,Bakso Jihan,,8,2025,1,2025-08-01_Bakso Jihan
2025-08-01,j04,bakso telur,7.0,Alun Alun Utara,Bakso Jihan,,8,2025,1,2025-08-01_Bakso Jihan
2025-08-01,j05,bakso keju,16.0,Alun Alun Utara,Bakso Jihan,,8,2025,1,2025-08-01_Bakso Jihan
2025-09-01,j01,dampling,12.0,Alun Alun Utara,Bakso Jihan,,9,2025,1,2025-09-01_Bakso Jihan
2025-09-01,j02,bakso urat,19.0,Alun Alun Utara,Bakso Jihan,,9,2025,1,2025-09-01_Bakso Jihan
2025-09-01,j03,bakso tahu,19.0,Alun Alun Utara,Bakso Jihan,,9,2025,1,2025-09-01_Bakso Jihan
2025-09-01,j04,bakso telur,20.0,Alun Alun Utara,Bakso Jihan,,9,2025,1,2025-09-01_Bakso Jihan
2025-09-01,j05,bakso keju,13.0,Alun Alun Utara,Bakso Jihan,,9,2025,1,2025-09-01_Bakso Jihan
2025-10-01,j01,dampling,20.0,Alun Alun Utara,Bakso Jihan,,10,2025,1,2025-10-01_Bakso Jihan
2025-10-01,j02,bakso urat,20.0,Alun Alun Utara,Bakso Jihan,,10,2025,1,2025-10-01_Bakso Jihan
2025-10-01,j03,bakso tahu,12.0,Alun Alun Utara,Bakso Jihan,,10,2025,1,2025-10-01_Bakso Jihan
2025-10-01,j04,bakso telur,11.0,Alun Alun Utara,Bakso Jihan,,10,2025,1,2025-10-01_Bakso Jihan
2025-10-01,j05,bakso keju,5.0,Alun Alun Utara,Bakso Jihan,,10,2025,1,2025-10-01_Bakso Jihan
2025-11-01,j01,dampling,19.0,Alun Alun Utara,Bakso Jihan,,11,2025,1,2025-11-01_Bakso Jihan
2025-11-01,j02,bakso urat,7.0,Alun Alun Utara,Bakso Jihan,,11,2025,1,2025-11-01_Bakso Jihan
2025-11-01,j03,bakso tahu,19.0,Alun Alun Utara,Bakso Jihan,,11,2025,1,2025-11-01_Bakso Jihan
2025-11-01,j04,bakso telur,16.0,Alun Alun Utara,Bakso Jihan,,11,2025,1,2025-11-01_Bakso Jihan
2025-11-01,j05,bakso keju,17.0,Alun Alun Utara,Bakso Jihan,,11,2025,1,2025-11-01_Bakso Jihan
2025-12-01,j01,dampling,19.0,Alun Alun Utara,Bakso Jihan,,12,2025,1,2025-12-01_Bakso Jihan
2025-12-01,j02,bakso urat,14.0,Alun Alun Utara,Bakso Jihan,,12,2025,1,2025-12-01_Bakso Jihan
2025-12-01,j03,bakso tahu,7.0,Alun Alun Utara,Bakso Jihan,,12,2025,1,2025-12-01_Bakso Jihan
2025-12-01,j04,bakso telur,10.0,Alun Alun Utara,Bakso Jihan,,12,2025,1,2025-12-01_Bakso Jihan
2025-12-01,j05,bakso keju,11.0,Alun Alun Utara,Bakso Jihan,,12,2025,1,2025-12-01_Bakso Jihan
2025-01-02,j01,dampling,13.0,Alun Alun Utara,Bakso Jihan,,1,2025,2,2025-01-02_Bakso Jihan
2025-01-02,j02,bakso urat,15.0,Alun Alun Utara,Bakso Jihan,,1,2025,2,2025-01-02_Bakso Jihan
2025-01-02,j03,bakso tahu,12.0,Alun Alun Utara,Bakso Jihan,,1,2025,2,2025-01-02_Bakso Jihan
2025-01-02,j04,bakso telur,9.0,Alun Alun Utara,Bakso Jihan,,1,2025,2,2025-01-02_Bakso Jihan
2025-01-02,j05,bakso keju,14.0,Alun Alun Utara,Bakso Jihan,,1,2025,2,2025-01-02_Bakso Jihan
2025-02-02,j01,dampling,10.0,Alun Alun Utara,Bakso Jihan,,2,2025,2,2025-02-02_Bakso Jihan
2025-02-02,j02,bakso urat,5.0,Alun Alun Utara,Bakso Jihan,,2,2025,2,2025-02-02_Bakso Jihan
2025-02-02,j03,bakso tahu,14.0,Alun Alun Utara,Bakso Jihan,,2,2025,2,2025-02-02_Bakso Jihan
2025-02-02,j04,bakso telur,6.0,Alun Alun Utara,Bakso Jihan,,2,2025,2,2025-02-02_Bakso Jihan
2025-02-02,j05,bakso keju,6.0,Alun Alun Utara,Bakso Jihan,,2,2025,2,2025-02-02_Bakso Jihan
2025-03-02,j01,dampling,14.0,Alun Alun Utara,Bakso Jihan,,3,2025,2,2025-03-02_Bakso Jihan
2025-03-02,j02,bakso urat,16.0,Alun Alun Utara,Bakso Jihan,,3,2025,2,2025-03-02_Bakso Jihan
2025-03-02,j03,bakso tahu,8.0,Alun Alun Utara,Bakso Jihan,,3,2025,2,2025-03-02_Bakso Jihan
2025-03-02,j04,bakso telur,8.0,Alun Alun Utara,Bakso Jihan,,3,2025,2,2025-03-02_Bakso Jihan
2025-03-02,j05,bakso keju,14.0,Alun Alun Utara,Bakso Jihan,,3,2025,2,2025-03-02_Bakso Jihan
2025-04-02,j01,dampling,18.0,Alun Alun Utara,Bakso Jihan,,4,2025,2,2025-04-02_Bakso Jihan
2025-04-02,j02,bakso urat,20.0,Alun Alun Utara,Bakso Jihan,,4,2025,2,2025-04-02_Bakso Jihan
2025-04-02,j03,bakso tahu,8.0,Alun Alun Utara,Bakso Jihan,,4,2025,2,2025-04-02_Bakso Jihan
2025-04-02,j04,bakso telur,5.0,Alun Alun Utara,Bakso Jihan,,4,2025,2,2025-04-02_Bakso Jihan
2025-04-02,j05,bakso keju,20.0,Alun Alun Utara,Bakso Jihan,,4,2025,2,2025-04-02_Bakso Jihan
2025-05-02,j01,dampling,11.0,Alun Alun Utara,Bakso Jihan,,5,2025,2,2025-05-02_Bakso Jihan
2025-05-02,j02,bakso urat,15.0,Alun Alun Utara,Bakso Jihan,,5,2025,2,2025-05-02_Bakso Jihan
2025-05-02,j03,bakso tahu,16.0,Alun Alun Utara,Bakso Jihan,,5,2025,2,2025-05-02_Bakso Jihan
2025-05-02,j04,bakso telur,6.0,Alun Alun Utara,Bakso Jihan,,5,2025,2,2025-05-02_Bakso Jihan
2025-05-02,j05,bakso keju,8.0,Alun Alun Utara,Bakso Jihan,,5,2025,2,2025-05-02_Bakso Jihan
2025-06-02,j01,dampling,12.0,Alun Alun Utara,Bakso Jihan,,6,2025,2,2025-06-02_Bakso Jihan
2025-06-02,j02,bakso urat,9.0,Alun Alun Utara,Bakso Jihan,,6,2025,2,2025-06-02_Bakso Jihan
2025-06-02,j03,bakso tahu,14.0,Alun Alun Utara,Bakso Jihan,,6,2025,2,2025-06-02_Bakso Jihan
2025-06-02,j04,bakso telur,11.0,Alun Alun Utara,Bakso Jihan,,6,2025,2,2025-06-02_Bakso Jihan
2025-06-02,j05,bakso keju,9.0,Alun Alun Utara,Bakso Jihan,,6,2025,2,2025-06-02_Bakso Jihan
2025-07-02,j01,dampling,15.0,Alun Alun Utara,Bakso Jihan,,7,2025,2,2025-07-02_Bakso Jihan
2025-07-02,j02,bakso urat,10.0,Alun Alun Utara,Bakso Jihan,,7,2025,2,2025-07-02_Bakso Jihan
2025-07-02,j03,bakso tahu,12.0,Alun Alun Utara,Bakso Jihan,,7,2025,2,2025-07-02_Bakso Jihan
2025-07-02,j04,bakso telur,11.0,Alun Alun Utara,Bakso Jihan,,7,2025,2,2025-07-02_Bakso Jihan
2025-07-02,j05,bakso keju,7.0,Alun Alun Utara,Bakso Jihan,,7,2025,2,2025-07-02_Bakso Jihan
2025-08-02,j01,dampling,9.0,Alun Alun Utara,Bakso Jihan,,8,2025,2,2025-08-02_Bakso Jihan
2025-08-02,j02,bakso urat,7.0,Alun Alun Utara,Bakso Jihan,,8,2025,2,2025-08-02_Bakso Jihan
2025-08-02,j03,bakso tahu,5.0,Alun Alun Utara,Bakso Jihan,,8,2025,2,2025-08-02_Bakso Jihan
2025-08-02,j04,bakso telur,13.0,Alun Alun Utara,Bakso Jihan,,8,2025,2,2025-08-02_Bakso Jihan
2025-08-02,j05,bakso keju,20.0,Alun Alun Utara,Bakso Jihan,,8,2025,2,2025-08-02_Bakso Jihan
2025-09-02,j01,dampling,14.0,Alun Alun Utara,Bakso Jihan,,9,2025,2,2025-09-02_Bakso Jihan
2025-09-02,j02,bakso urat,18.0,Alun Alun Utara,Bakso Jihan,,9,2025,2,2025-09-02_Bakso Jihan
2025-09-02,j03,bakso tahu,20.0,Alun Alun Utara,Bakso Jihan,,9,2025,2,2025-09-02_Bakso Jihan
2025-09-02,j04,bakso telur,17.0,Alun Alun Utara,Bakso Jihan,,9,2025,2,2025-09-02_Bakso Jihan
2025-09-02,j05,bakso keju,12.0,Alun Alun Utara,Bakso Jihan,,9,2025,2,2025-09-02_Bakso Jihan
2025-10-02,j01,dampling,8.0,Alun Alun Utara,Bakso Jihan,,10,2025,2,2025-10-02_Bakso Jihan
2025-10-02,j02,bakso urat,11.0,Alun Alun Utara,Bakso Jihan,,10,2025,2,2025-10-02_Bakso Jihan
2025-10-02,j03,bakso tahu,14.0,Alun Alun Utara,Bakso Jihan,,10,2025,2,2025-10-02_Bakso Jihan
2025-10-02,j04,bakso telur,6.0,Alun Alun Utara,Bakso Jihan,,10,2025,2,2025-10-02_Bakso Jihan
2025-10-02,j05,bakso keju,16.0,Alun Alun Utara,Bakso Jihan,,10,2025,2,2025-10-02_Bakso Jihan
2025-11-02,j01,dampling,13.0,Alun Alun Utara,Bakso Jihan,,11,2025,2,2025-11-02_Bakso Jihan
2025-11-02,j02,bakso urat,11.0,Alun Alun Utara,Bakso Jihan,,11,2025,2,2025-11-02_Bakso Jihan
2025-11-02,j03,bakso tahu,20.0,Alun Alun Utara,Bakso Jihan,,11,2025,2,2025-11-02_Bakso Jihan
2025-11-02,j04,bakso telur,7.0,Alun Alun Utara,Bakso Jihan,,11,2025,2,2025-11-02_Bakso Jihan
2025-11-02,j05,bakso keju,19.0,Alun Alun Utara,Bakso Jihan,,11,2025,2,2025-11-02_Bakso Jihan
2025-12-02,j01,dampling,5.0,Alun Alun Utara,Bakso Jihan,,12,2025,2,2025-12-02_Bakso Jihan
2025-12-02,j02,bakso urat,15.0,Alun Alun Utara,Bakso Jihan,,12,2025,2,2025-12-02_Bakso Jihan
2025-12-02,j03,bakso tahu,17.0,Alun Alun Utara,Bakso Jihan,,12,2025,2,2025-12-02_Bakso Jihan
2025-12-02,j04,bakso telur,6.0,Alun Alun Utara,Bakso Jihan,,12,2025,2,2025-12-02_Bakso Jihan
2025-12-02,j05,bakso keju,6.0,Alun Alun Utara,Bakso Jihan,,12,2025,2,2025-12-02_Bakso Jihan
2025-01-03,j01,dampling,9.0,Alun Alun Utara,Bakso Jihan,,1,2025,3,2025-01-03_Bakso Jihan
2025-01-03,j02,bakso urat,11.0,Alun Alun Utara,Bakso Jihan,,1,2025,3,2025-01-03_Bakso Jihan
2025-01-03,j03,bakso tahu,19.0,Alun Alun Utara,Bakso Jihan,,1,2025,3,2025-01-03_Bakso Jihan
2025-01-03,j04,bakso telur,16.0,Alun Alun Utara,Bakso Jihan,,1,2025,3,2025-01-03_Bakso Jihan
2025-01-03,j05,bakso keju,16.0,Alun Alun Utara,Bakso Jihan,,1,2025,3,2025-01-03_Bakso Jihan
2025-02-03,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,2,2025,3,2025-02-03_Bakso Jihan
2025-02-03,j02,bakso urat,6.0,Alun Alun Utara,Bakso Jihan,,2,2025,3,2025-02-03_Bakso Jihan
2025-02-03,j03,bakso tahu,15.0,Alun Alun Utara,Bakso Jihan,,2,2025,3,2025-02-03_Bakso Jihan
2025-02-03,j04,bakso telur,8.0,Alun Alun Utara,Bakso Jihan,,2,2025,3,2025-02-03_Bakso Jihan
2025-02-03,j05,bakso keju,11.0,Alun Alun Utara,Bakso Jihan,,2,2025,3,2025-02-03_Bakso Jihan
2025-03-03,j01,dampling,11.0,Alun Alun Utara,Bakso Jihan,,3,2025,3,2025-03-03_Bakso Jihan
2025-03-03,j02,bakso urat,5.0,Alun Alun Utara,Bakso Jihan,,3,2025,3,2025-03-03_Bakso Jihan
2025-03-03,j03,bakso tahu,8.0,Alun Alun Utara,Bakso Jihan,,3,2025,3,2025-03-03_Bakso Jihan
2025-03-03,j04,bakso telur,5.0,Alun Alun Utara,Bakso Jihan,,3,2025,3,2025-03-03_Bakso Jihan
2025-03-03,j05,bakso keju,14.0,Alun Alun Utara,Bakso Jihan,,3,2025,3,2025-03-03_Bakso Jihan
2025-04-03,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,4,2025,3,2025-04-03_Bakso Jihan
2025-04-03,j02,bakso urat,11.0,Alun Alun Utara,Bakso Jihan,,4,2025,3,2025-04-03_Bakso Jihan
2025-04-03,j03,bakso tahu,20.0,Alun Alun Utara,Bakso Jihan,,4,2025,3,2025-04-03_Bakso Jihan
2025-04-03,j04,bakso telur,18.0,Alun Alun Utara,Bakso Jihan,,4,2025,3,2025-04-03_Bakso Jihan
2025-04-03,j05,bakso keju,11.0,Alun Alun Utara,Bakso Jihan,,4,2025,3,2025-04-03_Bakso Jihan
2025-05-03,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,5,2025,3,2025-05-03_Bakso Jihan
2025-05-03,j02,bakso urat,20.0,Alun Alun Utara,Bakso Jihan,,5,2025,3,2025-05-03_Bakso Jihan
2025-05-03,j03,bakso tahu,5.0,Alun Alun Utara,Bakso Jihan,,5,2025,3,2025-05-03_Bakso Jihan
2025-05-03,j04,bakso telur,10.0,Alun Alun Utara,Bakso Jihan,,5,2025,3,2025-05-03_Bakso Jihan
2025-05-03,j05,bakso keju,12.0,Alun Alun Utara,Bakso Jihan,,5,2025,3,2025-05-03_Bakso Jihan
2025-06-03,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,6,2025,3,2025-06-03_Bakso Jihan
2025-06-03,j02,bakso urat,10.0,Alun Alun Utara,Bakso Jihan,,6,2025,3,2025-06-03_Bakso Jihan
2025-06-03,j03,bakso tahu,6.0,Alun Alun Utara,Bakso Jihan,,6,2025,3,2025-06-03_Bakso Jihan
2025-06-03,j04,bakso telur,14.0,Alun Alun Utara,Bakso Jihan,,6,2025,3,2025-06-03_Bakso Jihan
2025-06-03,j05,bakso keju,13.0,Alun Alun Utara,Bakso Jihan,,6,2025,3,2025-06-03_Bakso Jihan
2025-07-03,j01,dampling,5.0,Alun Alun Utara,Bakso Jihan,,7,2025,3,2025-07-03_Bakso Jihan
2025-07-03,j02,bakso urat,7.0,Alun Alun Utara,Bakso Jihan,,7,2025,3,2025-07-03_Bakso Jihan
2025-07-03,j03,bakso tahu,18.0,Alun Alun Utara,Bakso Jihan,,7,2025,3,2025-07-03_Bakso Jihan
2025-07-03,j04,bakso telur,10.0,Alun Alun Utara,Bakso Jihan,,7,2025,3,2025-07-03_Bakso Jihan
2025-07-03,j05,bakso keju,10.0,Alun Alun Utara,Bakso Jihan,,7,2025,3,2025-07-03_Bakso Jihan
2025-08-03,j01,dampling,15.0,Alun Alun Utara,Bakso Jihan,,8,2025,3,2025-08-03_Bakso Jihan
2025-08-03,j02,bakso urat,10.0,Alun Alun Utara,Bakso Jihan,,8,2025,3,2025-08-03_Bakso Jihan
2025-08-03,j03,bakso tahu,12.0,Alun Alun Utara,Bakso Jihan,,8,2025,3,2025-08-03_Bakso Jihan
2025-08-03,j04,bakso telur,8.0,Alun Alun Utara,Bakso Jihan,,8,2025,3,2025-08-03_Bakso Jihan
2025-08-03,j05,bakso keju,14.0,Alun Alun Utara,Bakso Jihan,,8,2025,3,2025-08-03_Bakso Jihan
2025-09-03,j01,dampling,15.0,Alun Alun Utara,Bakso Jihan,,9,2025,3,2025-09-03_Bakso Jihan
2025-09-03,j02,bakso urat,13.0,Alun Alun Utara,Bakso Jihan,,9,2025,3,2025-09-03_Bakso Jihan
2025-09-03,j03,bakso tahu,13.0,Alun Alun Utara,Bakso Jihan,,9,2025,3,2025-09-03_Bakso Jihan
2025-09-03,j04,bakso telur,15.0,Alun Alun Utara,Bakso Jihan,,9,2025,3,2025-09-03_Bakso Jihan
2025-09-03,j05,bakso keju,14.0,Alun Alun Utara,Bakso Jihan,,9,2025,3,2025-09-03_Bakso Jihan
2025-10-03,j01,dampling,10.0,Alun Alun Utara,Bakso Jihan,,10,2025,3,2025-10-03_Bakso Jihan
2025-10-03,j02,bakso urat,18.0,Alun Alun Utara,Bakso Jihan,,10,2025,3,2025-10-03_Bakso Jihan
2025-10-03,j03,bakso tahu,11.0,Alun Alun Utara,Bakso Jihan,,10,2025,3,2025-10-03_Bakso Jihan
2025-10-03,j04,bakso telur,5.0,Alun Alun Utara,Bakso Jihan,,10,2025,3,2025-10-03_Bakso Jihan
2025-10-03,j05,bakso keju,12.0,Alun Alun Utara,Bakso Jihan,,10,2025,3,2025-10-03_Bakso Jihan
2025-11-03,j01,dampling,13.0,Alun Alun Utara,Bakso Jihan,,11,2025,3,2025-11-03_Bakso Jihan
2025-11-03,j02,bakso urat,16.0,Alun Alun Utara,Bakso Jihan,,11,2025,3,2025-11-03_Bakso Jihan
2025-11-03,j03,bakso tahu,15.0,Alun Alun Utara,Bakso Jihan,,11,2025,3,2025-11-03_Bakso Jihan
2025-11-03,j04,bakso telur,20.0,Alun Alun Utara,Bakso Jihan,,11,2025,3,2025-11-03_Bakso Jihan
2025-11-03,j05,bakso keju,8.0,Alun Alun Utara,Bakso Jihan,,11,2025,3,2025-11-03_Bakso Jihan
2025-12-03,j01,dampling,8.0,Alun Alun Utara,Bakso Jihan,,12,2025,3,2025-12-03_Bakso Jihan
2025-12-03,j02,bakso urat,7.0,Alun Alun Utara,Bakso Jihan,,12,2025,3,2025-12-03_Bakso Jihan
2025-12-03,j03,bakso tahu,9.0,Alun Alun Utara,Bakso Jihan,,12,2025,3,2025-12-03_Bakso Jihan
2025-12-03,j04,bakso telur,18.0,Alun Alun Utara,Bakso Jihan,,12,2025,3,2025-12-03_Bakso Jihan
2025-12-03,j05,bakso keju,19.0,Alun Alun Utara,Bakso Jihan,,12,2025,3,2025-12-03_Bakso Jihan
2025-01-04,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,1,2025,4,2025-01-04_Bakso Jihan
2025-01-04,j02,bakso urat,20.0,Alun Alun Utara,Bakso Jihan,,1,2025,4,2025-01-04_Bakso Jihan
2025-01-04,j03,bakso tahu,13.0,Alun Alun Utara,Bakso Jihan,,1,2025,4,2025-01-04_Bakso Jihan
2025-01-04,j04,bakso telur,10.0,Alun Alun Utara,Bakso Jihan,,1,2025,4,2025-01-04_Bakso Jihan
2025-01-04,j05,bakso keju,10.0,Alun Alun Utara,Bakso Jihan,,1,2025,4,2025-01-04_Bakso Jihan
2025-02-04,j01,dampling,10.0,Alun Alun Utara,Bakso Jihan,,2,2025,4,2025-02-04_Bakso Jihan
2025-02-04,j02,bakso urat,17.0,Alun Alun Utara,Bakso Jihan,,2,2025,4,2025-02-04_Bakso Jihan
2025-02-04,j03,bakso tahu,17.0,Alun Alun Utara,Bakso Jihan,,2,2025,4,2025-02-04_Bakso Jihan
2025-02-04,j04,bakso telur,10.0,Alun Alun Utara,Bakso Jihan,,2,2025,4,2025-02-04_Bakso Jihan
2025-02-04,j05,bakso keju,18.0,Alun Alun Utara,Bakso Jihan,,2,2025,4,2025-02-04_Bakso Jihan
2025-03-04,j01,dampling,13.0,Alun Alun Utara,Bakso Jihan,,3,2025,4,2025-03-04_Bakso Jihan
2025-03-04,j02,bakso urat,15.0,Alun Alun Utara,Bakso Jihan,,3,2025,4,2025-03-04_Bakso Jihan
2025-03-04,j03,bakso tahu,6.0,Alun Alun Utara,Bakso Jihan,,3,2025,4,2025-03-04_Bakso Jihan
2025-03-04,j04,bakso telur,7.0,Alun Alun Utara,Bakso Jihan,,3,2025,4,2025-03-04_Bakso Jihan
2025-03-04,j05,bakso keju,6.0,Alun Alun Utara,Bakso Jihan,,3,2025,4,2025-03-04_Bakso Jihan
2025-04-04,j01,dampling,6.0,Alun Alun Utara,Bakso Jihan,,4,2025,4,2025-04-04_Bakso Jihan
2025-04-04,j02,bakso urat,6.0,Alun Alun Utara,Bakso Jihan,,4,2025,4,2025-04-04_Bakso Jihan
2025-04-04,j03,bakso tahu,16.0,Alun Alun Utara,Bakso Jihan,,4,2025,4,2025-04-04_Bakso Jihan
2025-04-04,j04,bakso telur,16.0,Alun Alun Utara,Bakso Jihan,,4,2025,4,2025-04-04_Bakso Jihan
2025-04-04,j05,bakso keju,18.0,Alun Alun Utara,Bakso Jihan,,4,2025,4,2025-04-04_Bakso Jihan
2025-05-04,j01,dampling,7.0,Alun Alun Utara,Bakso Jihan,,5,2025,4,2025-05-04_Bakso Jihan
2025-05-04,j02,bakso urat,5.0,Alun Alun Utara,Bakso Jihan,,5,2025,4,2025-05-04_Bakso Jihan
2025-05-04,j03,bakso tahu,20.0,Alun Alun Utara,Bakso Jihan,,5,2025,4,2025-05-04_Bakso Jihan
2025-05-04,j04,bakso telur,11.0,Alun Alun Utara,Bakso Jihan,,5,2025,4,2025-05-04_Bakso Jihan
2025-05-04,j05,bakso keju,6.0,Alun Alun Utara,Bakso Jihan,,5,2025,4,2025-05-04_Bakso Jihan
2025-06-04,j01,dampling,19.0,Alun Alun Utara,Bakso Jihan,,6,2025,4,2025-06-04_Bakso Jihan
2025-06-04,j02,bakso urat,11.0,Alun Alun Utara,Bakso Jihan,,6,2025,4,2025-06-04_Bakso Jihan
2025-06-04,j03,bakso tahu,8.0,Alun Alun Utara,Bakso Jihan,,6,2025,4,2025-06-04_Bakso Jihan
2025-06-04,j04,bakso telur,8.0,Alun Alun Utara,Bakso Jihan,,6,2025,4,2025-06-04_Bakso Jihan
2025-06-04,j05,bakso keju,15.0,Alun Alun Utara,Bakso Jihan,,6,2025,4,2025-06-04_Bakso Jihan
2025-07-04,j01,dampling,19.0,Alun Alun Utara,Bakso Jihan,,7,2025,4,2025-07-04_Bakso Jihan
2025-07-04,j02,bakso urat,16.0,Alun Alun Utara,Bakso Jihan,,7,2025,4,2025-07-04_Bakso Jihan
2025-07-04,j03,bakso tahu,18.0,Alun Alun Utara,Bakso Jihan,,7,2025,4,2025-07-04_Bakso Jihan
2025-07-04,j04,bakso telur,8.0,Alun Alun Utara,Bakso Jihan,,7,2025,4,2025-07-04_Bakso Jihan
2025-07-04,j05,bakso keju,17.0,Alun Alun Utara,Bakso Jihan,,7,2025,4,2025-07-04_Bakso Jihan
2025-08-04,j01,dampling,5.0,Alun Alun Utara,Bakso Jihan,,8,2025,4,2025-08-04_Bakso Jihan
2025-08-04,j02,bakso urat,14.0,Alun Alun Utara,Bakso Jihan,,8,2025,4,2025-08-04_Bakso Jihan
2025-08-04,j03,bakso tahu,17.0,Alun Alun Utara,Bakso Jihan,,8,2025,4,2025-08-04_Bakso Jihan
2025-08-04,j04,bakso telur,11.0,Alun Alun Utara,Bakso Jihan,,8,2025,4,2025-08-04_Bakso Jihan
2025-08-04,j05,bakso keju,18.0,Alun Alun Utara,Bakso Jihan,,8,2025,4,2025-08-04_Bakso Jihan
